#SampleID	plot	Caged	Nutrients	Coral	Genus	Species	initial_diameter_cm	tissue_change_score	tissue_change_percent	dead_by_end	pfish_bites	binary_tissue_loss	tissue_loss	DSS	Dictytoa	Amphiroa	Sargassum	Halimeda	Turf	Sediment	Cyanobacteria	Algae	AlgaeAndSediment	Bleached
4CU1_AG1	4	0	0	AG1	Agaricia	A humilis	4	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4CU1_MC1	4	0	0	MC1	Montastrea	M cavernosa	2	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
4CU1_PA2	4	0	0	PA2	Porites	P astreoides	2.5	1	5	No	No	No	Gain	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
4CU1_PA3	4	0	0	PA3	Porites	P porites	1.5	1	5	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4CU1_SS1	4	0	0	SS1	Siderastrea	S siderea	1.5	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
4CU2_PA1	4	0	0	PA1	Porites	P astreoides	3.5	2	18	No	No	No	Gain	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
4CU2_PA3	4	0	0	PA3	Porites	P porites	5.5	4	62	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4CU2_PA4	4	0	0	PA4	Porites	P porites	2	6	350	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4CU2_SS1	4	0	0	SS1	Siderastrea	S siderea	7	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4CU2_ST1	4	0	0	ST1	Stephanocoenia	Stephanocoenia	1.5	2	18	No	No	No	Gain	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
4NC1_AG1	4	1	1	AG1	Agaricia	A humilis	7	-1	-5	No	No	Yes	Loss	No	Yes	No	No	No	No	No	No	Yes	No	No
4NC1_AG2	4	1	1	AG2	Agaricia	A humilis	3	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
4NC1_MO1	4	1	1	MO1	Musa	Musa	2.5	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
4NC1_PA2	4	1	1	PA2	Porites	P astreoides	2	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	No	Yes	Yes	No	No
4NC1_PA3	4	1	1	PA3	Porites	P astreoides	2.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	No	No	No	Yes	No	No
4NC1_PA4	4	1	1	PA4	Porites	P astreoides	1.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	No	No
4NC1_PP2	4	1	1	PP2	Porites	P porites	5	3	37	No	No	No	Gain	No	Yes	Yes	No	No	No	No	No	Yes	No	No
